iter	Passed	Remaining
408	4636	2165
409	4648	2154
410	4658	2142
411	4667	2129
412	4676	2117
413	4685	2104
414	4694	2092
415	4703	2080
416	4712	2068
417	4721	2055
418	4731	2043
419	4740	2031
420	4749	2019
421	4758	2007
422	4767	1994
423	4776	1982
424	4785	1970
425	4794	1958
426	4804	1946
427	4813	1934
428	4822	1922
429	4831	1910
430	4841	1898
431	4849	1886
432	4859	1874
433	4868	1862
434	4877	1850
435	4886	1838
436	4896	1826
437	4905	1814
438	4914	1802
439	4923	1790
440	4932	1778
441	4942	1766
442	4952	1755
443	4962	1743
444	4971	1731
445	4980	1719
446	4989	1707
447	4998	1695
448	5007	1684
449	5016	1672
450	5025	1660
451	5034	1648
452	5044	1636
453	5052	1624
454	5061	1613
455	5071	1601
456	5081	1589
457	5090	1578
458	5099	1566
459	5109	1555
460	5118	1543
461	5127	1531
462	5136	1519
463	5145	1508
464	5154	1496
465	5163	1484
466	5172	1473
467	5181	1461
468	5190	1449
469	5199	1438
470	5209	1426
471	5218	1415
472	5228	1403
473	5237	1392
474	5246	1380
475	5255	1369
476	5264	1357
477	5273	1346
478	5282	1334
479	5291	1322
480	5300	1311
481	5309	1299
482	5318	1288
483	5327	1276
484	5336	1265
485	5346	1254
486	5356	1242
487	5365	1231
488	5374	1220
489	5384	1208
490	5393	1197
491	5402	1185
492	5411	1174
493	5420	1163
494	5428	1151
495	5438	1140
496	5446	1128
497	5456	1117
498	5465	1106
499	5474	1094
500	5483	1083
501	5492	1072
502	5502	1061
503	5511	1049
504	5521	1038
505	5530	1027
506	5539	1016
507	5548	1004
508	5556	993
509	5565	982
510	5573	970
511	5582	959
512	5591	948
513	5601	937
514	5610	925
515	5619	914
516	5628	903
517	5637	892
518	5646	881
519	5655	870
520	5665	859
521	5673	847
522	5683	836
523	5692	825
524	5701	814
525	5711	803
526	5720	792
527	5730	781
528	5738	770
529	5748	759
530	5757	748
531	5765	736
532	5773	725
533	5782	714
534	5791	703
535	5801	692
536	5811	681
537	5821	670
538	5831	659
539	5840	648
540	5849	637
541	5858	626
542	5867	615
543	5877	604
544	5885	593
545	5895	583
546	5904	572
547	5913	561
548	5922	550
549	5931	539
550	5939	528
551	5949	517
552	5959	506
553	5967	495
554	5976	484
555	5985	473
556	5994	462
557	6003	451
558	6013	441
559	6022	430
560	6031	419
561	6040	408
562	6049	397
563	6058	386
564	6067	375
565	6076	365
566	6085	354
567	6096	343
568	6105	332
569	6115	321
570	6124	311
571	6133	300
572	6142	289
573	6151	278
574	6160	267
575	6169	257
576	6178	246
577	6187	235
578	6196	224
579	6205	213
580	6214	203
581	6224	192
582	6233	181
583	6243	171
584	6252	160
585	6262	149
586	6271	138
587	6279	128
588	6288	117
589	6296	106
590	6305	96
591	6315	85
592	6324	74
593	6333	63
594	6342	53
595	6350	42
596	6360	31
597	6369	21
598	6378	10
599	6388	0
