iter	Logloss
0	0.6142416768
1	0.5453169112
2	0.4921816643
3	0.4462317597
4	0.4126914921
5	0.385212578
6	0.3610398191
7	0.3315315343
8	0.3120176395
9	0.2996346139
10	0.2860130354
11	0.2737944601
12	0.2646088954
13	0.2539507377
14	0.2450256032
15	0.2379204196
16	0.2333764746
17	0.2279447306
18	0.2228293571
19	0.2156066457
20	0.2084956147
21	0.204502634
22	0.2001340337
23	0.1950392899
24	0.1921047176
25	0.1887897018
26	0.1847639952
27	0.1806973776
28	0.1778332171
29	0.1752315756
30	0.1716400816
31	0.168087194
32	0.1658305589
33	0.1624939849
34	0.1598494243
35	0.1565073269
36	0.154200494
37	0.1523381221
38	0.1505361601
39	0.1485095768
40	0.1459680104
41	0.1438096481
42	0.1421915853
43	0.140925182
44	0.1391218103
45	0.1380997633
46	0.1361635827
47	0.1337971508
48	0.1324022484
49	0.131294425
50	0.1299705278
51	0.1284080811
52	0.126980118
53	0.1256406218
54	0.1244351826
55	0.1237649227
56	0.1225632103
57	0.1219858977
58	0.1210277917
59	0.1192346084
60	0.1183488581
61	0.1168957508
62	0.1158198288
63	0.1144226633
64	0.1131445664
65	0.1120470764
66	0.1108550859
67	0.1098676454
68	0.1080126249
69	0.1066932131
70	0.1060155967
71	0.1055047316
72	0.1048437458
73	0.1036269641
74	0.1022307628
75	0.1015882508
76	0.1012555385
77	0.1008369715
78	0.09950375176
79	0.09863545743
80	0.09761872637
81	0.09718460227
82	0.0957922622
83	0.09533892096
84	0.0939334179
85	0.0934319119
86	0.09273894492
87	0.09224941376
88	0.09087373631
89	0.0903563878
90	0.08917091104
91	0.08873112018
92	0.08787806772
93	0.0868238471
94	0.08615785777
95	0.08570163248
96	0.08475146765
97	0.08375705744
98	0.08314068533
99	0.08250206943
100	0.08207700164
101	0.08160151175
102	0.08095657868
103	0.08051294787
104	0.07994928701
105	0.07968247939
106	0.07925439013
107	0.0785529577
108	0.07766487006
109	0.07736493783
110	0.07688477799
111	0.07651552216
112	0.0760153679
113	0.07527346517
114	0.07495624385
115	0.07381483216
116	0.07329446165
117	0.07308837578
118	0.07278716238
119	0.07222587976
120	0.0710137699
121	0.07037934696
122	0.0698623735
123	0.06946656878
124	0.06845124611
125	0.06747578842
126	0.06676937647
127	0.06645101078
128	0.06613979975
129	0.06558038959
130	0.06504367864
131	0.06452584925
132	0.06420341773
133	0.06383625953
134	0.0634304337
135	0.06294428102
136	0.06241348572
137	0.06175255259
138	0.06148485744
139	0.06087365879
140	0.06063565209
141	0.0602037842
142	0.05979692371
143	0.05955059407
144	0.05917991654
145	0.05892214233
146	0.05839195413
147	0.0580409247
148	0.05761909404
149	0.05724713861
150	0.05685528256
151	0.05638050289
152	0.0560270731
153	0.05571624959
154	0.0551926899
155	0.0548518823
156	0.0545103012
157	0.054098583
158	0.05382793839
159	0.05352333326
160	0.05330422567
161	0.05315752985
162	0.05296682385
163	0.0525460585
164	0.05203606561
165	0.05175456433
166	0.05142564879
167	0.05124572882
168	0.051133371
169	0.0507277381
170	0.05053791288
171	0.05034952853
172	0.0501355506
173	0.04986267138
174	0.04949997882
175	0.04886534912
176	0.04857499088
177	0.04788352716
178	0.04705119351
179	0.04660883014
180	0.04592650314
181	0.04540874678
182	0.04507153796
183	0.04483811819
184	0.0443588664
185	0.0436666707
186	0.04340181155
187	0.04313026065
188	0.04302856706
189	0.04279694793
190	0.04266280932
191	0.0419389116
192	0.04181044982
193	0.04157804568
194	0.04139881581
195	0.04128222455
196	0.0410703108
197	0.04087850666
198	0.04052617876
199	0.04034617833
200	0.04019738001
201	0.04009383259
202	0.039798041
203	0.03970335589
204	0.03952280701
205	0.03922039229
206	0.0389744656
207	0.03882493681
208	0.03863386195
209	0.03848517872
210	0.03831554401
211	0.0381996253
212	0.03802584118
213	0.03781915175
214	0.03756159155
215	0.0373530982
216	0.03720086147
217	0.03688132641
218	0.03666447361
219	0.03644795663
220	0.0362778531
221	0.03612706034
222	0.03591265618
223	0.03560919372
224	0.03543467976
225	0.03524764449
226	0.03511655867
227	0.03480844297
228	0.03461886163
229	0.0345040034
230	0.03436184089
231	0.03420178905
232	0.03399106449
233	0.03324818449
234	0.0330578012
235	0.03298688103
236	0.03283436141
237	0.03233607027
238	0.03220305979
239	0.03211125642
240	0.03190877624
241	0.03181049384
242	0.03161483729
243	0.0313272804
244	0.03122642526
245	0.03103926996
246	0.0308436164
247	0.03053282247
248	0.03040587654
249	0.03026676642
250	0.03008747168
251	0.02997420466
252	0.0298083683
253	0.02954874866
254	0.02946262893
255	0.02929193627
256	0.0290715984
257	0.02894794043
258	0.02878518634
259	0.02870709033
260	0.02857161167
261	0.02835874358
262	0.02809548461
263	0.02799845221
264	0.02787278489
265	0.02778018952
266	0.0277003534
267	0.02756710022
268	0.02748688934
269	0.02736310557
270	0.02731704703
271	0.02707942805
272	0.02698094196
273	0.0267837014
274	0.026711175
275	0.02657431008
276	0.02637737005
277	0.02618473662
278	0.0260630772
279	0.02597520487
280	0.02591056904
281	0.02565044617
282	0.02556866108
283	0.02544782633
284	0.02539488054
285	0.02525140223
286	0.02514945169
287	0.02490783847
288	0.0248294902
289	0.02474775435
290	0.02469243319
291	0.02464107639
292	0.02451906506
293	0.02442733832
294	0.02439215602
295	0.02422547828
296	0.02407907016
297	0.02393838831
298	0.02356047086
299	0.02339512888
300	0.02330555946
301	0.02300171486
302	0.02292809258
303	0.02281752975
304	0.02275304784
305	0.02270316696
306	0.02249483259
307	0.02243371827
308	0.022334445
309	0.02226379133
310	0.0221318512
311	0.02206779877
312	0.02190804431
313	0.02186287251
314	0.02172183161
315	0.02169287401
316	0.02153629045
317	0.02147167876
318	0.0213761058
319	0.02129026674
320	0.02118329984
321	0.02107886244
322	0.02103582707
323	0.02093979368
324	0.02090907472
325	0.02086847015
326	0.02079668699
327	0.02066723694
328	0.02052692327
329	0.0204167676
330	0.02032507427
331	0.02010441798
332	0.02004089906
333	0.01990566014
334	0.0198583509
335	0.01973642424
336	0.01969724682
337	0.01964408137
338	0.01956562359
339	0.01946544206
340	0.01942170099
341	0.01936699976
342	0.01933400173
343	0.01926199935
344	0.0191599074
345	0.0190543932
346	0.01903130564
347	0.01883389391
348	0.01876353227
349	0.01864812268
350	0.01862256969
351	0.01858484088
352	0.0184846069
353	0.01839901961
354	0.01831032268
355	0.01826126831
356	0.01819871949
357	0.01817076076
358	0.01807022368
359	0.01799236628
360	0.01791154924
361	0.01782977953
362	0.01773305478
363	0.01768179191
364	0.0175990904
365	0.01753914534
366	0.01741766815
367	0.01733425611
368	0.01727805016
369	0.01723657993
370	0.0171926053
371	0.0171288712
372	0.01703094196
373	0.01700355256
374	0.01695033557
375	0.01690819543
376	0.01682423035
377	0.01660390813
378	0.01653582202
379	0.01639961581
380	0.01622939676
381	0.01619308477
382	0.0161541711
383	0.01609227212
384	0.01604848058
385	0.0159387814
386	0.01588081167
387	0.01585952361
388	0.01577584548
389	0.0157130278
390	0.01562943343
391	0.0155866241
392	0.01550143244
393	0.01545869223
394	0.01539909048
395	0.01532336018
396	0.01527202601
397	0.01521177906
398	0.01513169191
399	0.01509578649
400	0.01505244148
401	0.01501511863
402	0.01496882556
